reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4f7d1f19-4810-4b2b-afea-347bf85f687f,Zubair Latif,https://play-lh.googleusercontent.com/a/ACg8ocJwd-kcDt-1McYXmdVNoPZM5bEayL-LGTDispGtzM0hWlSAUw=mo,excilent,5,0,3.37.1,2025-07-11 14:44:28,"Dear Zubair, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 16:15:51,3.37.1
135e1da1-122c-4b5f-93c3-f14a370efb02,Ali Mughal,https://play-lh.googleusercontent.com/a-/ALV-UjUBd6QsqqLPm-UUjDS5lO1RpVxbTeDFkmmRNRlLnXFSazjEzwo,good service,5,0,3.38.2,2025-07-11 14:00:13,"Dear Ali, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 16:15:44,3.38.2
406e4f93-f74d-445a-8950-36971c05dd31,Mushtaq Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocLdmo0ne7Yg2GfMQCOxLLF_v13rSO5rMyHgqS_Rd8CxUfj7lXI=mo,nice app,5,0,3.38.3,2025-07-11 13:32:11,"Dear Mushtaq, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 16:14:30,3.38.3
353e9559-738f-446e-bebd-5d65b6175273,Mian Asad,https://play-lh.googleusercontent.com/a/ACg8ocL3HEUDLi3tmcNCxnHfQ_kgtKiwL_nuwTrATFPYefAw2nOlQnY=mo,can't register on new phone as well as otp issue when registering or sending money can't enter otp manually sim must be in phone,1,0,,2025-07-11 12:43:06,"Dear Asad, we understand your concern. Please note that manual otp is restricted to reduce fraudulent activity. UBL Digital app now requires registered sim in the digital app so that the OTP can autofetch.",2025-07-11 16:14:13,
454b587a-341e-4826-abbd-9f2513901c5e,saqib zahoor,https://play-lh.googleusercontent.com/a-/ALV-UjVeckoA_0V8awWV9_Ltlhq5cd_8fXNSjfLyIhsuEyqDmvDVebRPVQ,very good app for online banking,5,0,2.18.2,2025-07-11 12:23:00,"Dear Saqib, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 16:08:26,2.18.2
7286b963-3868-4db6-94c3-4fb195060452,Shahid Mahmood,https://play-lh.googleusercontent.com/a-/ALV-UjU0pht2VV7pl9AiMlxwLFC_2J3nttIDMc_ZcRl9LqHtzJkZMbOc,add AIOU fee option too,4,0,3.38.2,2025-07-11 12:09:23,"Dear Shahid, thank you for your feedback. Your suggestion is duly noted and will be reviewed.",2025-07-11 16:08:12,3.38.2
9529f1e9-6887-49c4-9fc7-79fb550d91a0,Shahmeer Collection,https://play-lh.googleusercontent.com/a/ACg8ocLEJFz0KJqrxFDSpQ_A2i9PwfsaOkQewnZKKInM0rtNy5Drkg=mo,UBL bank app is very good & very helpful I'm very happy use this app specifically God think is Avery time 24hr no network problems.. I'm start use this app I think 2017 I think this is best Bank app,5,0,3.38.2,2025-07-11 11:25:55,"Dear Shahmeer, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 14:38:13,3.38.2
a01627b8-39ac-4ec2-a4b6-4cf1d9dfb743,Minsa Shah,https://play-lh.googleusercontent.com/a/ACg8ocJWlw-cqBt9KUICkBYnOOA06EyS4VupELPZe74j93VrYJHBxA=mo,it amazing.,4,0,3.38.3,2025-07-11 11:16:02,"Dear Minsa, thank you for the review. If you like our app, would you mind rating us 5 stars? That would be very encouraging for us.",2025-07-11 14:37:57,3.38.3
0b448faa-1d54-44c2-9a96-f80832a6570c,Muhammad Adnan Farooqi,https://play-lh.googleusercontent.com/a-/ALV-UjX1wPUHNQfwavV85gnvi0qC-nLaVeZq-h39uebPBm-Ni4UAUVYo,"AoA, After the update, the RAAST PAYMENT option is not appearing under the Pay to anyone tab... will you please resolve it...",5,0,3.38.2,2025-07-11 11:11:18,"Dear Adnan, thank you for sharing your concern. Please be notified that the Raast payment section fall under the pay anyone option.",2025-07-11 14:34:15,3.38.2
372a6a65-a387-450c-bba7-724a643b5b1c,ashiq ali,https://play-lh.googleusercontent.com/a-/ALV-UjVw5Dwz8-aM8qku1LRH6gQTXj-ENLnYe7c4YdH5ASykbVCd3-k,good appp,5,0,3.38.2,2025-07-11 10:48:41,"Dear Ali, thank you very much for taking the time to provide us with your valuable feedback & giving us 5 star ratings.",2025-07-11 14:33:22,3.38.2
